,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
47,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
48,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
49,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
50,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
51,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
52,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
53,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
54,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
55,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
56,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
57,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
58,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
59,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
60,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
61,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
